,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
3130,568650439639437313,positive,1.0,,,United,,Random55Dude,,0,@united you guys are awesome! Thanks!,,2015-02-19 21:56:44 -0800,,
565,570275462921850880,negative,0.6791,Damaged Luggage,0.6791,United,,Joestudent11,,0,@united. ..I received on other flights. #united  truly breaks guitars. #unitedbreaksguitars #wantmymoneyback,,2015-02-24 09:34:00 -0800,"Jerusalem, Israel",Jerusalem
7689,569344334761316354,negative,1.0,Can't Tell,0.6556,Delta,,FrancoIKU,,0,@JetBlue you are doing a horrible job at JFK...you need to rethink how you put these routes together. Unprofessional,,2015-02-21 19:54:01 -0800,wherever,Central Time (US & Canada)
2762,568916446710857728,positive,1.0,,,United,,CEUGRATN,,0,@united free booze for the Bach party would make it better!  ORD--&gt;MSY #Delayed #Again   We will enjoy either way.  Thanks!,,2015-02-20 15:33:45 -0800,,Central Time (US & Canada)
4533,570058699676520448,negative,1.0,Customer Service Issue,1.0,Southwest,,jenmedbery,,0,@SouthwestAir Twitter cust svc rule 1 Dont say IF we fell short. I just told u u did! #2 If u cant solve problem don't say anything at all!,,2015-02-23 19:12:39 -0800,"New Orleans, LA, USA",Central Time (US & Canada)
2008,569476889313562624,neutral,0.6863,,,United,,docambrose97,,0,@united Thanks!  Good to know.,,2015-02-22 04:40:45 -0800,,
2810,568887240685785089,neutral,0.7246,,,United,,KeldaPharris,,1,"@united blood services, make your appt. today! 18009174929 http://t.co/6UXwPaduGS",,2015-02-20 13:37:42 -0800,Aberdeen,Central Time (US & Canada)
13592,569815422675124225,negative,1.0,Lost Luggage,1.0,American,,Samfrancis6209,,0,@AmericanAir yes but you did manage to lose two of our bags. Horrendous airline.,,2015-02-23 03:05:58 -0800,,Amsterdam
11995,570274148364242947,neutral,0.6676,,,American,,treeguy81,,0,@AmericanAir thanks!,,2015-02-24 09:28:46 -0800,Raleigh NC,Quito
2579,569026124484706304,negative,1.0,Customer Service Issue,0.393,United,,dtcurtbrown,,0,@united flight 1136 from Chicago to Houston over 2 hours and no pretzels or peanuts?! Seriously about passed out.,,2015-02-20 22:49:34 -0800,,
6022,568432390957355008,positive,0.6774,,,Southwest,,cbigwater,,0,@SouthwestAir guess where Ashley is. She's doing a great job presenting. #ragandisney http://t.co/5ZNMwxDI9U,,2015-02-19 07:30:17 -0800,"Window Rock, Arizona",Central Time (US & Canada)
9792,569665202616020992,negative,1.0,Late Flight,1.0,US Airways,,DMAC8909,,0,@USAirways Can you advise on what's happening with departure delays from CLT?,,2015-02-22 17:09:02 -0800,,
203,569260526976544768,positive,1.0,,,Virgin America,,wmrrock,,0,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,,2015-02-21 14:21:00 -0800,CT,Eastern Time (US & Canada)
609,570252146320351232,negative,1.0,Late Flight,1.0,United,,PFlandersdc,,0,@united #worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!,,2015-02-24 08:01:21 -0800,,
6733,567713338873118722,positive,0.6803,,0.0,Southwest,,DaxJeter,,0,@SouthwestAir thanks do yall expect to be operational tomorrow out of Nashville?,,2015-02-17 07:53:02 -0800,"Nashville,TN",
10448,569294079835705346,negative,1.0,Customer Service Issue,0.6649,US Airways,,observepeople,,0,"@USAirways I made the change online, but couldn't check-in online, so had to call (3 hrs on hold btw). Shouldn't have been charged $25",,2015-02-21 16:34:20 -0800,,Eastern Time (US & Canada)
2210,569315664156069888,negative,1.0,Late Flight,0.6484,United,,JeremyPress1,,0,@united the incompetence is truly stunning at this point. 4 hours on a plane for a 1.75 hour nonstop flight.,,2015-02-21 18:00:06 -0800,,
4955,569610806196768768,neutral,1.0,,,Southwest,,G1GARRISON,,0,@SouthwestAir done,,2015-02-22 13:32:53 -0800,,
1744,569606901325017090,negative,1.0,Cancelled Flight,1.0,United,,GetxGnarly,,0,@united united flight UA3774 after two delays just Cancelled Flightled no explanation &amp; no more flights to Norfolk that aren't booked. Renting a car.,,2015-02-22 13:17:22 -0800,,Atlantic Time (Canada)
10378,569343070849740801,negative,1.0,Customer Service Issue,0.684,US Airways,,ball_tracey,,2,"@USAirways weather doesn't excuse poor customer service, lack of info from staff or the fact staff haven't turned up","[39.87355987, -75.24730884]",2015-02-21 19:49:00 -0800,,Amsterdam
4600,569989007532142592,positive,1.0,,,Southwest,,WalterFaddoul,,0,@SouthwestAir Travel agent Darrel here at Love Field hosting a paper airplane contest to entertain all the children was so awesome to see!,,2015-02-23 14:35:43 -0800,"Indianapolis, Indiana; USA",Central Time (US & Canada)
8766,567862754557759488,positive,1.0,,,Delta,,katie654,,0,@JetBlue is definitely my new favorite airline.,,2015-02-17 17:46:45 -0800,,
2181,569326940252991488,negative,1.0,Can't Tell,0.6411,United,,patrick_maness,,0,@united Tell me that you're at least going to cover a room and get me out of here.,,2015-02-21 18:44:54 -0800,Rhode Island,Eastern Time (US & Canada)
8984,570302717085790209,negative,1.0,Customer Service Issue,0.6519,US Airways,,TheOnlyJasonS,,1,@USAirways thanks 4 making it impossibly expensive 2 change 2 a flight leaving less than 24 hrs earlier than my reservation #1lesscustomer,,2015-02-24 11:22:18 -0800,,
12527,570124993176203265,neutral,0.6807,,0.0,American,,tennesseejc,,0,@AmericanAir done,,2015-02-23 23:36:05 -0800,"las vegas/nashville, TN",Central Time (US & Canada)
5070,569373258010660864,negative,1.0,Customer Service Issue,0.6669,Southwest,,amy__kristen,,0,@SouthwestAir want to explain why I was on hold for 2+ hrs tonight trying to reach customer service only to learn they're only there Mon-Fr?,,2015-02-21 21:48:57 -0800,SoCal,Arizona
3422,568454607040606208,negative,0.6723,Customer Service Issue,0.3594,United,,SaintAwesome504,,0,"@united I guess that's not the busiest route, so based on traffic/fuel costs, regional jet is the decision, but still not great 4 travelers.",,2015-02-19 08:58:34 -0800,,
3960,567916798747619328,negative,1.0,Customer Service Issue,1.0,United,,Z_J_M_,,0,@united still haven't received a response. Please direct message me for my contact information.,,2015-02-17 21:21:30 -0800,,Eastern Time (US & Canada)
4061,567845165781532672,negative,1.0,Customer Service Issue,0.6668,United,,laurasbrown5,,0,"@united thanks for a terrible experience at EWR. Customers should be treated as a priority, not as an inconvenience #tryagain",,2015-02-17 16:36:52 -0800,NYC,Eastern Time (US & Canada)
9224,570052124010278912,negative,1.0,Customer Service Issue,1.0,US Airways,,ChuckManicotti,,0,@USAirways I've been on hold for over an hour.  Not doing so well in the customer service department.  #weak,,2015-02-23 18:46:32 -0800,,
12608,570088470171013120,negative,1.0,Late Flight,1.0,American,,Charles_Joly,,0,@AmericanAir the last was 2339 dfw to ord. Not weather reLate Flightd... Austin leg delayed as well,,2015-02-23 21:10:57 -0800,"Chicago, Il",Central Time (US & Canada)
9796,569662030984056834,negative,1.0,Late Flight,0.6837,US Airways,,thebrainlair,,0,@USAirways What is happening? Have been sitting in Philly for hours. Pls take care of Flight 759 to Chicago. At least least us know! #soLate Flight,,2015-02-22 16:56:26 -0800,Indiana,Eastern Time (US & Canada)
3880,568057046303576065,negative,0.7065,Customer Service Issue,0.3587,United,,M_aggiee,,0,@united right... Are you guys charging for the air we breathe next?,,2015-02-18 06:38:48 -0800,New York,
3778,568132185741500416,negative,1.0,Late Flight,1.0,United,,JackAcree,,0,"@united Nice ""partners"" you have. The delays keep increasing every 20 min @FtLauderdaleSun @orlandosentinel http://t.co/1AtEafnC6R",,2015-02-18 11:37:23 -0800,United States,Eastern Time (US & Canada)
13150,569927843666366464,negative,1.0,Customer Service Issue,1.0,American,,stevecorb9,,0,@AmericanAir @EdPlotts don't bother trying to get anywhere with their customer service team either as take 2+ months and counting to reply,,2015-02-23 10:32:41 -0800,Bromyard,
2488,569170541250129920,neutral,1.0,,,United,,LuxuryFred,,0,@United lounge @ #Heathrow Used by @AirNZUSA http://t.co/6hJucP694l,,2015-02-21 08:23:26 -0800,In First Class,Arizona
13565,569829233423360000,neutral,0.6849,,0.0,American,,ThatsKathalina,,0,"@AmericanAir , CHECK DM PLEASE!",,2015-02-23 04:00:50 -0800,,Eastern Time (US & Canada)
13684,569748937545883648,negative,1.0,Cancelled Flight,1.0,American,,SentieriMelinda,,0,@AmericanAir thanks for your apology but it's a bit Late Flight. Cancelled Flighting a flight more than 24 hrs in advance due to weather is ridiculous. We,,2015-02-22 22:41:46 -0800,,
13080,569944699877724160,negative,1.0,Customer Service Issue,0.6246,American,,miajain,,0,@AmericanAir Thank u! Did reach out to both and have not had a response yet. Lost and Found goes straight to VM.,,2015-02-23 11:39:40 -0800,New York,Pacific Time (US & Canada)
4888,569668198389436416,neutral,1.0,,,Southwest,,_AmandaBrittney,,0,@SouthwestAir I would love a great deal from bwi to las Memorial Day weekend aka my bday weekend 😬,,2015-02-22 17:20:57 -0800,Virginia.,Central Time (US & Canada)
8055,568829891220803584,neutral,0.67,,0.0,Delta,,Cindy3015,,0,@JetBlue I'm looking every day just watching for a deal. I have specific dates so fare finder doesn't help me,,2015-02-20 09:49:49 -0800,"Rochester , N.Y",Eastern Time (US & Canada)
12122,570282555057909760,negative,1.0,Late Flight,0.6461,American,,alicizzle,,0,"@AmericanAir continues to win: I've never missed a flight before, but a nice little quiet gate change made it possible. Sheesh.",,2015-02-24 10:02:11 -0800,MiniApple(s),
6025,568430867447549952,neutral,1.0,,,Southwest,,KelliBruns,,0,@SouthwestAir Is there anyway to pay more to get priority boarding A 1-15?,,2015-02-19 07:24:14 -0800,California,Alaska
3747,568156641339805697,neutral,1.0,,,United,,RhodseyM,,0,@united it's operated by united as it's a heathrow-Newark flight,,2015-02-18 13:14:33 -0800,London,Greenland
13209,569914552382418944,neutral,1.0,,,American,,DL_Dub,,0,@AmericanAir is 2513 and 1555 on time or Cancelled Flightled?,,2015-02-23 09:39:52 -0800,'Merica,
14489,569607918569410560,negative,1.0,Customer Service Issue,1.0,American,,sweetmel,,0,@AmericanAir @TheNateK I submitted a complaint via that link in Dec. &amp; followed up in Jan. NEVER HEARD BACK! #badcustomerservice,,2015-02-22 13:21:25 -0800,"Dallas, TX",Central Time (US & Canada)
11369,568165058229997569,negative,1.0,Late Flight,0.6842,US Airways,,RayAllStar28,,0,@USAirways this made me have to Cancelled Flight my car reservation and it came out to more money...why did you reschedule a time without the crew?,,2015-02-18 13:48:00 -0800,"Lawrence, MA",
5771,568618050745864192,negative,1.0,Late Flight,1.0,Southwest,,PeterSanto29,,0,@SouthwestAir Another delay. Wow,,2015-02-19 19:48:02 -0800,"boston, ma",Central Time (US & Canada)
14445,569615444300185600,negative,1.0,Cancelled Flight,1.0,American,,kat_lilfish,,0,"@AmericanAir Cancelled Flights my flight, doesn't send an email, text or call. Now I'm stranded in Louisville.",,2015-02-22 13:51:19 -0800,,
7386,569630160233873411,neutral,1.0,,,Delta,,tomdalynh,,0,@JetBlue Think about it...boarding to a chill untz untz untz....like this http://t.co/lj2lARivE0...,,2015-02-22 14:49:48 -0800,Greater Boston Area,Eastern Time (US & Canada)
1308,569839559728439296,negative,1.0,Customer Service Issue,0.6803,United,,alysabaker,,0,@united and after being on hold for an hour the day before to sort it out and being told it's fine it should be fine when you arrive to fly,,2015-02-23 04:41:52 -0800,"ÜT: 50.97861,-114.000116",Mountain Time (US & Canada)
404,568195292803129345,positive,1.0,,,Virgin America,,mirandahaustin,,0,@VirginAmerica this is too cool!  Never been on ur planes but now I will!!,,2015-02-18 15:48:09 -0800,"Austin, TX",Central Time (US & Canada)
2581,569025196230877184,positive,0.6531,,,United,,neilawinston,,0,@united I hope so too :),,2015-02-20 22:45:53 -0800,"Cleveland, OH",Eastern Time (US & Canada)
5576,568885007646740480,neutral,1.0,,,Southwest,,itsangieohyeah,,0,@SouthwestAir please please please http://t.co/xiJiFYmvqP,,2015-02-20 13:28:49 -0800,Dodger Stadium | Disneyland,Pacific Time (US & Canada)
6693,567731712004595714,neutral,1.0,,,Southwest,,theokatzman,,2,@SouthwestAir any chance of adding LAX-&gt;JFK direct any time in the future?,,2015-02-17 09:06:02 -0800,"Lawrsh Ainjellush, CA",Eastern Time (US & Canada)
6708,567725232203390977,positive,0.703,,0.0,Southwest,,tonyapoe,,0,@SouthwestAir  Thank you.,,2015-02-17 08:40:17 -0800,,Mountain Time (US & Canada)
1989,569490420356374528,negative,0.6821,Bad Flight,0.6821,United,,sap_geek,,0,@united The engineer that designed the 787 door frame to extend half a foot into the plane for seat 27A should be forced to always sit here,,2015-02-22 05:34:31 -0800,,
7443,569603641767792641,positive,1.0,,,Delta,,djchupy,,0,@JetBlue thank you guys! You are the best! 🙌✈️,,2015-02-22 13:04:25 -0800,"Miami, FL",Central Time (US & Canada)
7264,569716645150781440,negative,1.0,Customer Service Issue,0.6322,Delta,,BubbaLucius,,0,@JetBlue is a joke. Missed my connecting flight by 5 minutes. Last flight of the day and they don't hold it.  5 minutes.,,2015-02-22 20:33:27 -0800,OP NY,
1556,569666115477098496,negative,1.0,Late Flight,1.0,United,,Andy_Pi,,1,@united always happy to start my life with my new wife with a 5 hr travel delay due to MAINTENECE and it would appear incompetence,,2015-02-22 17:12:40 -0800,NYC/Secaucus ,Santiago
7923,568973348840943616,positive,1.0,,,Delta,,thatsmypotpie,,0,@JetBlue thanks for letting us know. Hoping for no more delays!,,2015-02-20 19:19:52 -0800,Central Perk,Eastern Time (US & Canada)
3402,568465710629826560,positive,0.6639,,,United,,jong_pj,,0,@united You're welcome.,,2015-02-19 09:42:41 -0800,"Almere, The Netherlands",
4573,570008817414639616,neutral,0.675,,,Southwest,,amyflenard,,0,@SouthwestAir can you tell me if flight 805 from MDW-FLL tomorrow (2/24) is at full capacity?  i'm hoping for a little bit of extra room! 😊,,2015-02-23 15:54:26 -0800,"darien, il",Central Time (US & Canada)
5109,569338800452669440,negative,1.0,Cancelled Flight,0.6632,Southwest,,sammy_ike_blaze,,0,"@SouthwestAir Flight was Cancelled Flighted, I've been on hold for 50 minutes with no human interaction. I wanna get away.",,2015-02-21 19:32:02 -0800,"New York, NY",Eastern Time (US & Canada)
13052,569951222515539968,neutral,1.0,,,American,,thomas199023,,0,@AmericanAir could you check if there is SVU space on AA199 MXP-JFK Feb 28th? Thanks,,2015-02-23 12:05:35 -0800,Netherlands,Amsterdam
11063,568544549536198656,neutral,1.0,,,US Airways,,hobbes31,,0,"@USAirways http://t.co/AXRYeIWzh0, vuelo24.es, vuelos24.es sell too cheap MAD-NYC with USAirways. Are they trusted webs or is it a scam?",,2015-02-19 14:55:58 -0800,"Madrid, España",Madrid
11653,567847966989508608,negative,1.0,Late Flight,1.0,US Airways,,Bink_V,,0,@USAirways been delayed three times now finally boarded. Been waiting 20 minutes. Now being told the plan has to be completely powered down.,,2015-02-17 16:48:00 -0800,"Washingon, DC",Eastern Time (US & Canada)
5268,569225085330071554,neutral,1.0,,,Southwest,,NinaDESell,,0,@SouthwestAir could u put one here in Baltimore? http://t.co/vLCI2KV1IP,,2015-02-21 12:00:10 -0800,,
3488,568383474303959041,neutral,1.0,,,United,,dealswelike,,0,@united any updates with the DOT looking at the united fares from London to the US from last week?,,2015-02-19 04:15:54 -0800,New York,Central Time (US & Canada)
10321,569372340309651457,negative,1.0,Customer Service Issue,1.0,US Airways,,ChrisWalters_WV,,0,@USAirways I was on hold for 2 hours and still no answer. Is this really how you run your business? http://t.co/P8xFhq4kps,,2015-02-21 21:45:19 -0800,West Virginia,Central Time (US & Canada)
11509,568062007108190210,neutral,1.0,,,US Airways,,RoryPhilbin1,,0,@USAirways I recently moved and got a new license and when I booked my flight a months ago I used my old license do I need to change that?,,2015-02-18 06:58:31 -0800,NYC/London ,
12645,570077997648064512,negative,1.0,longlines,0.3866,American,,_apm_23,,0,@AmericanAir we had to sit in the airport a long periolodicly time. the planes were nasty,,2015-02-23 20:29:20 -0800,,
14631,569588464896876545,negative,1.0,Bad Flight,1.0,American,,MDDavis7,,0,@AmericanAir thx for nothing on getting us out of the country and back to US. Broken plane? Come on. Get another one.,,2015-02-22 12:04:07 -0800,US,Eastern Time (US & Canada)
511,570304912468402177,negative,0.6667,Can't Tell,0.3333,United,,andycheco,,0,@united you think you boarded flight AU1066 too early? I think so.,"[19.43706642, -99.07927123]",2015-02-24 11:31:01 -0800,New York,Eastern Time (US & Canada)
12671,570068393736302594,positive,1.0,,,American,,nickandriani,,0,Keep it up :) @AmericanAir,,2015-02-23 19:51:11 -0800,kansas city,Central Time (US & Canada)
470,567807967706488832,positive,1.0,,,Virgin America,,tookthecollar,,0,@VirginAmerica thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h,,2015-02-17 14:09:03 -0800,,
4935,569635428237778944,neutral,0.7012,,0.0,Southwest,,LetCourtRun,,0,@SouthwestAir How's Dallas incoming looking? I'm scheduled to fly in at 10:30 and wondering if I'll be stuck in St. Louis instead.,"[39.87875827, -75.23722854]",2015-02-22 15:10:44 -0800,,Central Time (US & Canada)
10821,568846754701058048,neutral,1.0,,,US Airways,,wclsc59,,0,@USAirways me and my wife will be flying out of atlanta to vegas on March 7th since couldn't get any out of tricities here in Tn,,2015-02-20 10:56:49 -0800,johnson city tn,
2672,568962582934978562,negative,1.0,Flight Attendant Complaints,1.0,United,,AbePrescher,,2,"@united passengers seated, crew ready #WheresThePilot? Flt1088 from ORD. Hope he isn't at the bar.",,2015-02-20 18:37:05 -0800,San Diego,
5780,568611482780508161,negative,1.0,Late Flight,1.0,Southwest,,collmac22,,0,@SouthwestAir I love ya but your bringin me down. An hour Late Flight leaving and now we've been sitting in the runway for 20 min 😥 #fail,,2015-02-19 19:21:56 -0800,Chicago,Central Time (US & Canada)
682,570189291990728704,negative,1.0,Customer Service Issue,1.0,United,,BrittanyWolgast,,0,@united Luckily I made my flights this time but was so disappointed with the lack of communication :(,,2015-02-24 03:51:35 -0800,,Central Time (US & Canada)
8158,568652268305666048,positive,1.0,,,Delta,,saltrejo,,0,"@JetBlue Love you, bae. #JetBae","[40.79248745, -111.98778056]",2015-02-19 22:04:00 -0800,"Salt Lake City, Utah ",Mountain Time (US & Canada)
11662,567842370533867520,negative,1.0,Customer Service Issue,1.0,US Airways,,suzanneboles,,0,@USAirways contd.. They put her on 7 pm flite tonite. I think she's on now. Worst customer service ever! U need to fix it.,,2015-02-17 16:25:45 -0800,"London, ON'",Eastern Time (US & Canada)
11060,568550060461408257,negative,1.0,Customer Service Issue,0.3492,US Airways,,malcolm_clement,,0,"@USAirways flight 500 out of Seattle has 10,000lbs too much fuel and no water for the lavoratories. Nice job guys - est 40min behind now",,2015-02-19 15:17:52 -0800,Seattle,Alaska
11781,567762670045364225,negative,1.0,Lost Luggage,1.0,US Airways,,MsAmanRm103,,0,@USAirways Waiting for my luggage on flight 1923. Is there a delay?,,2015-02-17 11:09:03 -0800,"Detroit, MI",
11366,568166478572204032,negative,1.0,Bad Flight,0.6836,US Airways,,MelaniePanton,,0,"@USAirways to CLT from JFK nasty planes, dirty seats &amp; floors, rude flight attendants- hopefully AA can get you cleaned up #disgusting #vile",,2015-02-18 13:53:39 -0800,"New York, New York",
6172,568162290890964992,positive,1.0,,,Southwest,,chelsiesedore,,0,@SouthwestAir is there a way to know who checked my bag on the curb? She was awesome!!! And want to be sure she gets a high five!,,2015-02-18 13:37:00 -0800,,
5000,569555719885885441,negative,1.0,Damaged Luggage,0.6509999999999999,Southwest,,kashnow,,0,"@SouthwestAir - neveryamind I paid $450 for a flight. 250 for a new bag is easy for business class customers, right? http://t.co/vn3JJIa53O",,2015-02-22 09:54:00 -0800,"31.708674,34.993824",Eastern Time (US & Canada)
10364,569351289026568192,negative,1.0,Late Flight,1.0,US Airways,,FalconjcJohn,,0,"@USAirways Yep, except this delay was due to a hasty and unwise decision to pushback other plane before the plows were done. #fail.",,2015-02-21 20:21:39 -0800,,
9587,569862572540878848,positive,1.0,,,US Airways,,JOHN_TURNER_JR,,0,@USAirways Your CLT baggage crew deserves a #kudos. I had to run to make my connection. And my bags still made it! #CustomerService,,2015-02-23 06:13:19 -0800,"Mobile, Alabama, US",Central Time (US & Canada)
1502,569696313824161792,negative,1.0,Flight Attendant Complaints,1.0,United,,jasoncarpio,,0,@united wanted to point out that not one United crew has been sympathetic. Questions unanswered. MileagePlus is starting to look like a joke,,2015-02-22 19:12:40 -0800,"San Francisco, California",Pacific Time (US & Canada)
14195,569655861297049600,negative,1.0,Lost Luggage,1.0,American,,KerithBurke,,0,@AmericanAir pleaseeee find my suitcase. I want deoderant and a clean shirt for work tomorrow :(,,2015-02-22 16:31:55 -0800,SNY in NYC.,Eastern Time (US & Canada)
2331,569257818789978113,positive,1.0,,,United,,KristinMcNeil,,0,@united thank you for compensating us for our 4 lost bags. We will fly with you again! #UnitedAirlines,,2015-02-21 14:10:14 -0800,"Minnesota, USA",Central Time (US & Canada)
8761,567868027376517121,neutral,1.0,,,Delta,,PaulRivera88,,0,@JetBlue yep it's for tomorrow.,,2015-02-17 18:07:42 -0800,,Eastern Time (US & Canada)
436,568068214325784576,positive,1.0,,,Virgin America,,dreamerintexas,,0,@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!,,2015-02-18 07:23:11 -0800,austin dallas chile london,Central Time (US & Canada)
1186,569902065247322112,negative,1.0,Late Flight,1.0,United,,LukeXuanLiu,,1,"@united and most frustratingly, all this delay happened either at the gate, or even onboard the aircraft! No heads up in advance!!!",,2015-02-23 08:50:15 -0800,,Atlantic Time (Canada)
